station,target,changes,stops
Niedertrebra,Leipzig-Miltitz,0,11
Günzburg,Leipzig Hbf,0,6
Crailsheim,Leipzig Hbf,0,6
Uhlstädt,Leipzig Hbf,0,7
Wandersleben,Leipzig-Miltitz,0,15
Königstein(Sächs Schw),Pirna,0,3
Wels Hbf,Leipzig Hbf,0,9
Auerbach(Vogtl) Hp,Auerbach(Vogtl) Hp,0,0
Torgau,Torgau,0,0
Wojanow,Görlitz,0,16
Werdau,Werdau,0,0
Steinbach am Wald,Leipzig Hbf,0,13
Dresden-Zschachwitz,Dresden-Zschachwitz,0,0
Chemnitz Friedrichstraße,Chemnitz Friedrichstraße,0,0
Pasewalk,Leipzig Hbf,0,7
Decin-Certova voda,Dresden Hbf,1,4
Neunhofen,Leipzig-Knauthain,0,13
Wüstenbrand,Hohenstein-Ernstthal,0,0
Großlehna,Leipzig-Miltitz,0,1
Hammerunterwiesenthal,Annaberg-Buchholz Süd,1,7
Altenburg,Markkleeberg,0,1
Ruppertsgrün,Plauen(Vogtl) ob Bf,0,2
Mehltheuer,Plauen(Vogtl) ob Bf,0,0
Hosena,Hoyerswerda,0,2
Pressig-Rothenkirchen,Leipzig Hbf,0,14
Mürzzuschlag,Dresden Hbf,0,10
Görlitz-Weinhübel Joh.-R.-Becher-Straße,Görlitz-Weinhübel Joh.-R.-Becher-Straße,0,0
Gutenfürst,Plauen(Vogtl) ob Bf,0,5
Praha-Holesovice,Dresden Hbf,0,3
Semmering,Dresden Hbf,0,9
Varnsdorf Pivovar Kocour,Zittau,0,5
Langebrück(Sachs),Radeberg,0,0
Frankenberg(Sachs),Chemnitz-Hilbersdorf,0,3
Berlin Gesundbrunnen,Dresden-Neustadt,0,2
Leisnig,Döbeln Hbf,0,2
Unterwiesenthal,Annaberg-Buchholz Süd,1,8
Chemnitz-Siegmar,Chemnitz-Siegmar,0,0
Piensk,Görlitz,0,4
Sluknov zast.,Dresden Hbf,1,13
Klosterbuch,Döbeln Hbf,0,1
Reichenbach(Oberlausitz),Reichenbach(Oberlausitz),0,0
Leipzig Coppiplatz,Leipzig Coppiplatz,0,0
Schorndorf,Leipzig Hbf,0,10
Hagen Hbf,Leipzig/Halle Flughafen,0,11
Hallstadt(b Bamberg),Leipzig Hbf,0,27
Leipzig Nord,Leipzig Nord,0,0
Schwerin Hbf,Dresden-Neustadt,0,8
Delitzsch unt Bf,Delitzsch unt Bf,0,0
Pegau,Leipzig-Knauthain,0,1
Dresden-Klotzsche,Dresden-Klotzsche,0,0
Burkhardswalde-Maxen,Dresden-Zschachwitz,1,4
Rothenstein(Saale),Leipzig Hbf,0,5
Magdeburg Hbf,Leipzig/Halle Flughafen,0,2
Oldenburg(Oldb),Leipzig/Halle Flughafen,0,10
Lampertswalde,Großenhain Cottb Bf,0,0
Herlasgrün,Auerbach(V) ob Bf,0,1
Chemnitz Alt Chemnitz Center,Chemnitz Alt Chemnitz Center,0,0
Leipzig Grünauer Allee,Leipzig Grünauer Allee,0,0
Leipzig Messe,Leipzig Messe,0,0
Boguszow Gorce Zach.,Görlitz,0,23
Nennigmühle,Chemnitz Hbf,0,11
Rechenberg Schule,Freiberg(Sachs),0,7
Cainsdorf,Zwickau-Schedewitz,0,0
Weixdorf,Dresden-Klotzsche,0,1
Dresden-Kemnitz Flensburger Straße,Dresden-Kemnitz Flensburger Straße,0,0
Frankfurt(M) Flughafen Fernbf,Leipzig Hbf,0,3
Halle-Trotha,Schkeuditz West,0,9
Muldenberg Floßplatz,Falkenstein(Vogtl),0,1
Chemnitz TU Campus,Chemnitz TU Campus,0,0
Oschatz,Oschatz,0,0
Bratislava hl.st.,Dresden Hbf,0,7
Zeulenroda unt Bf,Leipzig-Knauthain,0,14
Hartenstein,Bad Schlema,0,0
Jocketa,Plauen(Vogtl) ob Bf,0,1
Hohndorf Mitte,Oelsnitz(Erzgeb),0,0
Janowice Wielkie,Görlitz,0,18
Breitenbrunn(Erzg),Schwarzenberg Hp,0,2
Bad Schandau,Dresden Hbf,0,0
Schmiedeberg (Dresden),Dippoldiswalde,0,3
Frauenhain,Großenhain Cottb Bf,0,1
Auerbach(V) ob Bf,Auerbach(V) ob Bf,0,0
Jena-Göschwitz,Leipzig Hbf,0,2
Bitterfeld,Leipzig Hbf,0,0
Vilemov u Sluknova,Dresden Hbf,1,8
Schönau(Hörsel),Leipzig-Miltitz,0,21
Bad Schlema,Bad Schlema,0,0
Ciechanowice,Görlitz,0,19
