station,target,changes,stops,route_score,route_score_scaled
Zerbst/Anhalt,Leipzig Messe,0,6,0.14285714285714285,0.11607142857142858
Pirna,Dresden-Zschachwitz,0,3,0.25,0.2265625
Nassau(Erzgeb),Chemnitz Hbf,1,6,0.08333333333333333,0.0546875
Deutzen Markt,Leipzig-Connewitz,0,5,0.16666666666666666,0.140625
Kubschütz,Bautzen,0,0,1.0,1.0
Züssow,Leipzig Hbf,0,9,0.1,0.07187500000000001
Chemnitz Riemenschneiderstraße,Chemnitz Riemenschneiderstraße,0,0,1.0,1.0
Chemnitz Theaterplatz,Chemnitz Theaterplatz,0,0,1.0,1.0
Helmsdorf(Pirna),Dresden-Zschachwitz,1,8,0.07142857142857142,0.04241071428571429
Sehma,Chemnitz Hbf,0,18,0.05263157894736842,0.02302631578947368
Aalen Hbf,Leipzig Hbf,0,8,0.1111111111111111,0.08333333333333333
Duisburg Hbf,Leipzig/Halle Flughafen,0,13,0.07142857142857142,0.04241071428571429
Leipzig Slevogtstraße,Leipzig Slevogtstraße,0,0,1.0,1.0
Beucha,Leipzig-Engelsdorf,0,1,0.5,0.484375
Altenbach,Leipzig-Engelsdorf,0,3,0.25,0.2265625
Feilitzsch,Plauen(Vogtl) ob Bf,0,1,0.5,0.484375
Sedzislaw,Görlitz,0,21,0.045454545454545456,0.015625
Dortmund Hbf,Leipzig/Halle Flughafen,0,10,0.09090909090909091,0.0625
Schönberg(Vogtl),Plauen(Vogtl) ob Bf,0,2,0.3333333333333333,0.3125
"Jocketa Talsperrenblick, Pöhl",Plauen(Vogtl) ob Bf (Busbahnhof),0,0,1.0,1.0
Edle Krone,Dresden-Plauen,0,5,0.16666666666666666,0.140625
Auerbach(V) unt Bf,Zwickau(Sachs)Hbf,0,5,0.16666666666666666,0.140625
Bad Liebenwerda,Hoyerswerda,0,7,0.125,0.09765625
Bad Brambach,Plauen(Vogtl)West,0,8,0.1111111111111111,0.08333333333333333
Putzkau,Dresden-Klotzsche,0,4,0.2,0.17500000000000002
Görlitz-Weinhübel,Görlitz-Weinhübel,0,0,1.0,1.0
Neukirchen-Klaffenbach,Chemnitz Friedrichstraße,0,1,0.5,0.484375
Rumburk,Dresden Hbf,1,16,0.045454545454545456,0.015625
Netzschkau,Zwickau(Sachs)Hbf,0,4,0.2,0.17500000000000002
Sohl,Plauen(Vogtl)West,0,6,0.14285714285714285,0.11607142857142858
Zeitz,Leipzig-Knauthain,0,3,0.25,0.2265625
Sohland,Dresden-Klotzsche,0,5,0.16666666666666666,0.140625
Großröhrsdorf,Dresden-Klotzsche,0,3,0.25,0.2265625
Ebensfeld,Leipzig Hbf,0,24,0.04,0.010000000000000002
Adorf(Erzgeb),Chemnitz Friedrichstraße,0,2,0.3333333333333333,0.3125
Leipzig Wilhelm-Leuschner-Platz,Leipzig Wilhelm-Leuschner-Platz,0,0,1.0,1.0
"Reuth(b Plauen,Vogtl)",Plauen(Vogtl) ob Bf,0,3,0.25,0.2265625
Wilischthal,Chemnitz Hbf,0,9,0.1,0.07187500000000001
Graz Hbf,Dresden Hbf,0,13,0.07142857142857142,0.04241071428571429
Mittelherwigsdorf,Görlitz-Weinhübel Joh.-R.-Becher-Straße,0,4,0.2,0.17500000000000002
Crossen Ort,Leipzig-Knauthain,0,5,0.16666666666666666,0.140625
Oelsnitz(Erzgeb),Zwickau(Sachs)Hbf,1,8,0.07142857142857142,0.04241071428571429
Jena-Zwätzen,Leipzig Hbf,0,5,0.16666666666666666,0.140625
Jena Paradies,Leipzig Hbf,0,1,0.5,0.484375
Oberoderwitz,Dresden-Klotzsche,0,7,0.125,0.09765625
Budapest-Nyugati,Dresden Hbf,0,13,0.07142857142857142,0.04241071428571429
Freital-Deuben,Dresden-Plauen,0,1,0.5,0.484375
Berthelsdorf(Erzgebirge) Ort,Chemnitz Hbf,1,3,0.1111111111111111,0.08333333333333333
Leipzig Anger-Crottendorf,Leipzig Anger-Crottendorf,0,0,1.0,1.0
Dresden-Kemnitz,Dresden-Kemnitz,0,0,1.0,1.0
