station,target,changes,stops
Dresden-Friedrichstadt,Dresden-Friedrichstadt,0,0
Bärnsdorf,Dresden-Trachau,1,7
Neustadt(Sachs),Dresden-Zschachwitz,1,12
Markkleeberg-Gaschwitz,Leipzig-Connewitz,0,3
Gryfow Sl.,Görlitz,0,8
Bergwitz,Leipzig Messe,0,9
Ebing,Leipzig Hbf,0,26
Markkleeberg-Großstädteln,Leipzig-Connewitz,0,2
Crossen a d Elster,Leipzig-Knauthain,0,6
Zoblitz,Görlitz-Rauschwalde,0,2
Leipzig Völkerschlachtdenkmal,Leipzig Völkerschlachtdenkmal,0,0
Leipzig MDR,Leipzig MDR,0,0
Finsterwalde(Niederlausitz),Leipzig Hbf,0,6
Dittersbach,Chemnitz-Hilbersdorf,0,4
Burgkemnitz,Leipzig Messe,0,6
Geithain,Leipzig Hbf,0,1
Chemnitz Schillerplatz,Chemnitz Schillerplatz,0,0
Peißen,Leipzig/Halle Flughafen,1,1
Freital-Hainsberg,Dresden-Plauen,0,2
Hartmannmühle,Dresden-Zschachwitz,1,12
Jesewitz(Leipzig),Leipzig Hbf,0,1
Goßdorf-Kohlmühle,Dresden Hbf,1,3
Leipzig-Möckern,Leipzig-Möckern,0,0
Krzewina Zgorzelecka,Görlitz-Weinhübel,0,1
Dolni Zleb zast.,Dresden Hbf,1,3
Kurort Rathen,Dresden-Zschachwitz,0,6
Chemnitz Süd,Chemnitz Süd,0,0
Porstendorf,Leipzig Hbf,0,4
Köln Hbf,Leipzig/Halle Flughafen,0,14
Zirovice-Seniky,Plauen(Vogtl)West,0,11
Tautenhain,Leipzig-Liebertwolkwitz,0,7
Erlangen,Leipzig Hbf,0,1
Prösen Ost,Dresden Hbf,0,7
Triptis,Leipzig-Knauthain,0,11
Pößneck ob Bf,Leipzig-Knauthain,0,13
Weixdorf Bad,Dresden-Klotzsche,0,0
Plauen(Vogtl) ob Bf (Busbahnhof),Plauen(Vogtl) ob Bf (Busbahnhof),0,0
Chemnitz Hbf (Bahnhofstraße),Chemnitz Hbf (Bahnhofstraße),0,0
Plauen(Vogtl) Mitte,Plauen(Vogtl) Mitte,0,0
Bagenz,Görlitz,1,8
Anklam,Leipzig Hbf,0,8
Königsbrück,Dresden-Klotzsche,0,7
Würzburg Hbf,Leipzig Hbf,0,2
Clausnitz,Chemnitz Hbf,1,7
Muldenstein,Leipzig Messe,0,5
Antonsthal,Zwickau-Schedewitz,0,13
Leipzig-Knauthain,Leipzig-Knauthain,0,0
Neumark(Sachs),Zwickau(Sachs)Hbf,0,2
Olszyna Lubanska,Görlitz,0,6
Nove Zamky,Dresden Hbf,0,8
Obercarsdorf,Dresden-Plauen,1,10
Neusalza-Spremberg,Dresden-Klotzsche,0,6
Michelau(Oberfr),Leipzig Hbf,0,21
Zahna,Leipzig Messe,0,14
Berga(Elster),Plauen(Vogtl) Mitte,0,7
Halle Zoo,Leipzig-Lützschena,0,9
Markkleeberg,Leipzig-Connewitz,0,1
Großkugel,Leipzig-Lützschena,0,2
Oßmannstedt,Leipzig-Miltitz,0,12
Frohburg,Leipzig-Connewitz,0,12
Kötzschau,Leipzig-Miltitz,0,2
Falkenau(Sachs)Hp,Chemnitz Hbf,0,2
Elsterwerda,Dresden-Neustadt,0,0
Chemnitz-Schönau,Chemnitz-Schönau,0,0
Vieselbach,Leipzig-Miltitz,0,13
Lichtenstein Hartensteiner Straße,Zwickau(Sachs)Hbf,1,5
Boleslawiec,Görlitz,0,8
Lauter(Sachs),Zwickau-Schedewitz,0,8
Lehndorf(Altenburg),Zwickau(Sachs)Hbf,0,8
Hennersdorf(Sachs),Chemnitz Hbf,0,4
Schirgiswalde-Kirschau,Dresden-Klotzsche,0,5
Borna(Leipzig),Leipzig-Connewitz,0,9
Uhsmannsdorf,Görlitz,0,2
Ubocze,Görlitz,0,7
Chotyne,Dresden-Klotzsche,0,10
Fulda,Leipzig Hbf,0,2
Lengefeld-Rauenstein,Chemnitz Hbf,0,9
Mulda(Sachs),Chemnitz Hbf,1,5
Schüptitz,Leipzig-Knauthain,0,13
Niederoderwitz,Dresden-Klotzsche,0,19
Schmiedeberg-Naundorf,Dresden-Plauen,1,11
Varnsdorf mlékárna,Görlitz-Weinhübel Joh.-R.-Becher-Straße,0,6
Ingolstadt Hbf,Leipzig Hbf,0,3
Stollberg Schlachthofstraße,Chemnitz Friedrichstraße,0,6
Apolda,Leipzig Hbf,0,7
Dresden Grenzstraße,Dresden Grenzstraße,0,0
Dresden Freiberger Straße,Dresden Freiberger Straße,0,0
Borsdorf(Sachs),Leipzig-Engelsdorf,0,0
Prösen West,Chemnitz Hbf,0,15
Leipzig-Paunsdorf,Leipzig-Paunsdorf,0,0
Hoyerswerda,Hoyerswerda,0,0
Leipzig Mockauer Straße,Leipzig Mockauer Straße,0,0
Heidenau-Großsedlitz,Dresden-Zschachwitz,0,2
Halle Messe,Leipzig-Lützschena,0,5
Großharthau,Bautzen,0,2
Leipzig/Halle Flughafen,Leipzig/Halle Flughafen,0,0
Seifersdorf,Dresden-Plauen,1,6
Szob,Dresden Hbf,0,10
Dessau Hbf,Leipzig Messe,0,3
Lobstädt,Leipzig-Connewitz,0,8
Mechterstädt,Leipzig-Miltitz,0,19
Neumark(Sachs) Ladestraße,Zwickau(Sachs)Hbf,0,2
Böhlen Werke,Leipzig-Connewitz,0,3
Schweikershain,Chemnitz Hbf,0,2
Leipzig-Heiterblick,Leipzig-Heiterblick,0,0
Friedewald(Kr Dresden) Bad,Dresden-Trachau,1,4
Forchheim(Oberfr),Leipzig Hbf,0,29
Naumburg(Saale)Hbf,Leipzig Hbf,0,0
Mikulowa,Görlitz,0,2
Jedrzychowice,Görlitz,0,2
Neupetershain,Dresden-Neustadt,0,9
Großsteinberg,Leipzig-Engelsdorf,0,3
Stolpen,Dresden-Zschachwitz,1,9
Oederan,Chemnitz-Hilbersdorf,0,3
Bennewitz,Leipzig-Engelsdorf,0,4
Fröttstädt,Leipzig-Miltitz,0,18
Bad Staffelstein,Leipzig Hbf,0,23
Oberoderwitz Oberdorf,Dresden-Klotzsche,0,17
Leipzig Essener Straße,Leipzig Essener Straße,0,0
Augsburg Hbf,Leipzig Hbf,0,5
Kahla(Thür),Leipzig Hbf,0,5
Grünbach(Vogtl),Zwickau(Sachs)Hbf,0,8
Ponitz,Zwickau(Sachs)Hbf,0,6
Stendal Hbf,Leipzig Hbf,0,3
Neudorf(Erzgeb),Chemnitz Hbf,1,21
Bochum Hbf,Leipzig/Halle Flughafen,0,11
Greppin,Leipzig Messe,0,2
Lippendorf Kraftwerk/Wendestelle,Leipzig-Connewitz,0,6
Berlin-Spandau,Leipzig Hbf,0,2
Neustrelitz Hbf,Dresden-Neustadt,0,4
Freital-Potschappel,Dresden-Plauen,0,0
Limbach(Vogtl),Plauen(Vogtl) ob Bf,0,4
Ansbach,Leipzig Hbf,0,5
St Egidien,Chemnitz-Siegmar,0,3
Görlitz-Rauschwalde,Görlitz-Rauschwalde,0,0
Tomaszow Boleslawiecki,Görlitz,0,9
Klingenberg-Colmnitz,Dresden-Plauen,0,6
Gütersloh Hbf,Leipzig/Halle Flughafen,0,8
Leipzig Hbf,Leipzig Hbf,0,0
Pönitz(Leipzig),Leipzig-Heiterblick,0,1
"Bärenstein(b Glashütte, Sachs)",Dresden-Zschachwitz,1,10
Ottendorf(Mittweida),Chemnitz Kinderwaldstätte,0,1
Taubenheim(Spree),Dresden-Klotzsche,0,6
Niederdorf(Erzgeb),Chemnitz Friedrichstraße,0,5
Zschopau,Chemnitz Hbf,0,8
Dresden-Niedersedlitz,Dresden-Niedersedlitz,0,0
Chemnitz Gustav-Freytag-Straße,Chemnitz Gustav-Freytag-Straße,0,0
Neukieritzsch,Leipzig-Connewitz,0,3
Warnemünde,Dresden-Neustadt,0,7
Rentzschmühle,Plauen(Vogtl) Mitte,0,1
Weißes Roß,Dresden-Trachau,1,1
Syrau,Plauen(Vogtl) ob Bf,0,0
Zeithain,Chemnitz Hbf,0,12
Belgershain,Leipzig-Liebertwolkwitz,0,0
Zschortau,Leipzig Messe,0,1
Neukirchen-Wyhra,Leipzig-Connewitz,0,11
Leipzig-Engelsdorf,Leipzig-Engelsdorf,0,0
Zgorzelec Miasto,Görlitz,0,1
Kurort Altenberg(Erzgebirge),Dresden-Zschachwitz,1,14
Fährbrücke,Zwickau-Schedewitz,0,4
Schwarzenberg(Erzg),Zwickau-Schedewitz,0,10
Moritzburg,Dresden-Trachau,1,5
Leipzig Werkstättenstraße,Leipzig Werkstättenstraße,0,0
Senftenberg,Dresden-Neustadt,0,7
Niederau,Dresden Hbf,0,2
Meißen,Dresden-Neustadt,0,2
Kamenz(Sachs),Dresden-Klotzsche,0,7
Demitz-Thumitz,Bautzen,0,1
Olbernhau West,Chemnitz Hbf,0,13
Schärding,Leipzig Hbf,0,9
Lichtenstein Ernst-Schneller-Siedlung,Zwickau(Sachs)Hbf,1,3
Zeutsch,Leipzig Hbf,0,7
Chemnitz Küchwald,Chemnitz Küchwald,0,0
Rechenberg,Chemnitz Hbf,1,10
Steinpleis,Zwickau(Sachs)Hbf,0,1
Zschopau Ost,Chemnitz Hbf,0,7
Unterloquitz,Leipzig Hbf,0,10
Lauta(Nl),Hoyerswerda,0,1
Lohmen,Dresden-Zschachwitz,1,6
Zwickau Stadthalle,Zwickau Stadthalle,0,0
Grobau,Plauen(Vogtl) ob Bf,0,4
Schwarzkollm,Hoyerswerda,0,0
Hundsgrün,Plauen(Vogtl)West,0,3
Reifland-Wünschendorf,Chemnitz Hbf,0,8
Schleife,Görlitz,1,6
Greiz,Plauen(Vogtl) Mitte,0,5
Johanngeorgenstadt,Zwickau-Schedewitz,0,16
Petergrube,Leipzig-Connewitz,0,10
Bad Dürrenberg,Leipzig Hbf,0,1
Brno hl.n.,Dresden Hbf,0,4
Weida Altstadt,Leipzig-Knauthain,0,12
Freiberg(Sachs),Chemnitz Hbf,0,1
Zwickau-Schedewitz,Zwickau-Schedewitz,0,0
Markranstädt,Leipzig-Miltitz,0,0
Deutzen,Leipzig-Connewitz,0,5
Klitten,Hoyerswerda-Neustadt,0,2
Minden(Westf),Leipzig/Halle Flughafen,0,5
Kraslice,Zwickau(Sachs)Hbf,1,15
Kyhna,Leipzig Messe,1,1
Niederbobritzsch,Dresden-Plauen,0,7
Witkow Sl.,Görlitz,0,22
Bad Hersfeld,Leipzig Hbf,0,2
Frankfurt(Main)Hbf,Leipzig Hbf,0,2
Klaffenbach Hp,Chemnitz Friedrichstraße,0,0
Frantiskovy Lazne,Plauen(Vogtl)West,0,12
Hähnichen,Görlitz,0,3
Berlin Südkreuz,Dresden-Neustadt,0,0
Braunsdorf-Lichtenwalde,Chemnitz-Hilbersdorf,0,1
Bad Lausick,Leipzig Hbf,0,0
Reußen,Leipzig/Halle Flughafen,1,2
Leipzig-Plagwitz,Leipzig-Plagwitz,0,0
Narsdorf,Chemnitz Hbf,0,1
Arnsdorf(Dresden),Dresden-Klotzsche,0,1
Lasow,Görlitz,0,3
Gräfenhainichen,Leipzig Messe,0,7
Crimmitschau,Zwickau(Sachs)Hbf,0,1
Bärenhecke-Johnsbach,Dresden-Zschachwitz,1,9
Niedergörsdorf,Leipzig Messe,0,16
Bruck/Mur,Dresden Hbf,0,12
Hopfgarten(Sachs),Leipzig-Liebertwolkwitz,0,6
Oberholz,Leipzig-Liebertwolkwitz,0,1
