station,target,changes,stops,route_score,route_score_scaled
Lauenstein(Sachs),Dresden-Zschachwitz,1,11,0.058823529411764705,0.026369168356997978
Kurort Jonsdorf Hst,Zittau Vorstadt,0,3,0.25,0.22413793103448276
Neustadt(Orla),Leipzig-Knauthain,0,12,0.07692307692307693,0.04509283819628648
Glauchau(Sachs),Glauchau(Sachs),0,0,1.0,1.0
Hetzdorf(Flöhatal),Chemnitz Hbf,0,3,0.25,0.22413793103448276
Chemnitz Technopark,Chemnitz Technopark,0,0,1.0,1.0
Varnsdorf stare nadr,Zittau,0,1,0.5,0.4827586206896552
Hirschfelde,Zittau,0,0,1.0,1.0
Mühlbach(Pirna),Dresden-Zschachwitz,1,5,0.09090909090909091,0.059561128526645774
Kiel Hbf,Leipzig Hbf,0,5,0.16666666666666666,0.13793103448275862
Leipzig Hbf (tief),Leipzig Hbf (tief),0,0,1.0,1.0
Orlamünde,Leipzig Hbf,0,6,0.14285714285714285,0.11330049261083745
Drebkau,Großenhain Cottb Bf,0,6,0.14285714285714285,0.11330049261083745
Dresden-Reick,Dresden-Reick,0,0,1.0,1.0
Falkenberg(Elster),Torgau,0,1,0.5,0.4827586206896552
Leipzig-Miltitz,Leipzig-Miltitz,0,0,1.0,1.0
Biederitz,Delitzsch unt Bf,0,7,0.125,0.09482758620689656
Gera-Langenberg,Leipzig-Knauthain,0,7,0.125,0.09482758620689656
Hermsdorf(Dresden),Dresden-Klotzsche,0,2,0.3333333333333333,0.3103448275862069
Bad Kösen,Leipzig Hbf,0,2,0.3333333333333333,0.3103448275862069
Rybnica,Görlitz,0,13,0.07142857142857142,0.0394088669950739
Leipzig-Wahren,Leipzig-Wahren,0,0,1.0,1.0
Walbrzych Glowny,Görlitz,0,26,0.037037037037037035,0.0038314176245210704
Radeburg,Lößnitzgrund,0,7,0.125,0.09482758620689656
Barthmühle,Plauen(Vogtl) Mitte,0,0,1.0,1.0
Großenhain Cottb Bf,Großenhain Cottb Bf,0,0,1.0,1.0
Berlin Hbf (tief),Dresden-Neustadt,0,1,0.5,0.4827586206896552
Radebeul-Kötzschenbroda,Radebeul-Kötzschenbroda,0,0,1.0,1.0
Güterglück,Delitzsch unt Bf,0,6,0.14285714285714285,0.11330049261083745
Mitteloelsnitz,Oelsnitz Bahnhofstraße,0,0,1.0,1.0
Schöna,Pirna,0,7,0.125,0.09482758620689656
Schöneck(Vogtl) Ferienpark,Falkenstein(Vogtl),0,3,0.25,0.22413793103448276
Luban Sl.,Görlitz,0,5,0.16666666666666666,0.13793103448275862
Chemnitz-Altchemnitz,Chemnitz-Altchemnitz,0,0,1.0,1.0
Wiesa(Erzgeb),Annaberg-Buchholz unterer Bf,0,0,1.0,1.0
