station,n_departures,departures_scaled,departures_ratio
Leipzig Markt,474,0.7667210440456771,19.75
Leipzig MDR,474,0.7667210440456771,19.75
Leipzig-Gohlis,182,0.2903752039151713,7.583333333333333
Leipzig-Heiterblick,77,0.11908646003262642,3.2083333333333335
Leipzig-Knauthain,53,0.07993474714518761,2.2083333333333335
Leipzig-Möckern,127,0.200652528548124,5.291666666666667
Leipzig-Stötteritz,242,0.38825448613376834,10.083333333333334
Leipzig-Thekla,77,0.11908646003262642,3.2083333333333335
Leipzig Nord,226,0.3621533442088091,9.416666666666666
Leipzig-Wahren,100,0.1566068515497553,4.166666666666667
Leisnig,34,0.048939641109298535,1.4166666666666667
Leipzig Essener Straße,148,0.23491027732463296,6.166666666666667
Leipzig Wilhelm-Leuschner-Platz,474,0.7667210440456771,19.75
Lengenfeld(Vogtl),32,0.04567699836867863,1.3333333333333333
Leipzig Slevogtstraße,100,0.1566068515497553,4.166666666666667
Lichtenberg(Erzgeb),16,0.019575856443719414,0.6666666666666666
Lichtenstein(Sachs),32,0.04567699836867863,1.3333333333333333
Lichtentanne(Sachs),61,0.09298531810766722,2.5416666666666665
Leipzig-Liebertwolkwitz,38,0.05546492659053834,1.5833333333333333
Limbach(Vogtl),38,0.05546492659053834,1.5833333333333333
Limmritz(Sachs),38,0.05546492659053834,1.5833333333333333
Leipzig-Lindenau,82,0.12724306688417616,3.4166666666666665
Lobstädt,79,0.12234910277324633,3.2916666666666665
Lohmen,34,0.048939641109298535,1.4166666666666667
Lohsa,22,0.029363784665579123,0.9166666666666666
Leipzig Mockauer Straße,77,0.11908646003262642,3.2083333333333335
Machern(Sachs),76,0.11745513866231648,3.1666666666666665
Leipzig-Lützschena,100,0.1566068515497553,4.166666666666667
Markkleeberg Nord,228,0.36541598694942906,9.5
Markkleeberg,228,0.36541598694942906,9.5
Markranstädt,42,0.06199021207177814,1.75
Meißen Altstadt,110,0.1729200652528548,4.583333333333333
Meerane,33,0.04730831973898859,1.375
Meißen,110,0.1729200652528548,4.583333333333333
Meißen Triebischtal,110,0.1729200652528548,4.583333333333333
Leipzig Völkerschlachtdenkmal,242,0.38825448613376834,10.083333333333334
Leipzig Miltitzer Allee,82,0.12724306688417616,3.4166666666666665
Leipzig-Miltitz,41,0.06035889070146819,1.7083333333333333
Mittweida,74,0.11419249592169659,3.0833333333333335
Mockrehna,58,0.08809135399673736,2.4166666666666665
Leipzig-Mölkau,34,0.048939641109298535,1.4166666666666667
Mosel,52,0.07830342577487766,2.1666666666666665
Mücka,22,0.029363784665579123,0.9166666666666666
Mühlbach(Pirna),36,0.052202283849918436,1.5
Mulda(Sachs),16,0.019575856443719414,0.6666666666666666
